Index,x_m,y_m
1,0.000495998,6.17E-05
2,0.00013136,4.18E-05
3,-1.38E-06,2.66E-06
4,-3.70E-06,-1.18E-07
5,-3.06E-06,-2.44E-06
6,-9.64E-07,-4.76E-06
7,2.45E-06,-4.80E-06
8,5.34E-06,-2.34E-06
9,5.95E-06,8.05E-07
10,4.92E-06,3.92E-06
11,2.42E-06,6.39E-06
12,-1.27E-06,7.09E-06
13,-4.49E-06,6.07E-06
14,-7.11E-06,3.62E-06
15,-8.25E-06,2.31E-08
16,-7.68E-06,-3.77E-06
17,-5.65E-06,-6.69E-06
18,-2.58E-06,-8.63E-06
19,1.07E-06,-9.18E-06
20,4.80E-06,-8.26E-06
21,7.69E-06,-6.12E-06
22,9.66E-06,-3.02E-06
23,1.04E-05,6.94E-07
24,9.71E-06,4.56E-06
25,7.80E-06,7.77E-06
26,4.78E-06,1.01E-05
27,1.10E-06,1.13E-05
28,-2.81E-06,1.12E-05
29,-6.30E-06,9.93E-06
30,-9.24E-06,7.57E-06
31,-1.14E-05,4.36E-06
32,-1.24E-05,5.72E-07
33,-1.22E-05,-3.19E-06
34,-1.09E-05,-6.77E-06
35,-8.54E-06,-9.81E-06
36,-5.35E-06,-1.21E-05
37,-1.76E-06,-1.34E-05
38,2.10E-06,-1.36E-05
39,5.93E-06,-1.26E-05
40,9.33E-06,-1.05E-05
41,1.20E-05,-7.74E-06
42,1.37E-05,-4.29E-06
43,1.46E-05,-4.78E-07
44,1.43E-05,3.50E-06
45,1.31E-05,7.14E-06
46,1.09E-05,1.04E-05
47,8.03E-06,1.30E-05
48,4.48E-06,1.48E-05
49,6.90E-07,1.56E-05
50,-3.20E-06,1.54E-05
51,-6.97E-06,1.43E-05
52,-1.04E-05,1.23E-05
53,-1.32E-05,9.59E-06
54,-1.52E-05,6.26E-06
55,-1.64E-05,2.50E-06
56,-1.68E-05,-1.52E-06
57,-1.61E-05,-5.37E-06
58,-1.46E-05,-8.98E-06
59,-1.22E-05,-1.22E-05
60,-9.17E-06,-1.48E-05
61,-5.69E-06,-1.66E-05
62,-1.87E-06,-1.75E-05
63,2.07E-06,-1.77E-05
64,6.01E-06,-1.70E-05
65,9.58E-06,-1.53E-05
66,1.27E-05,-1.30E-05
67,1.54E-05,-1.01E-05
68,1.73E-05,-6.56E-06
69,1.85E-05,-2.82E-06
70,1.88E-05,1.11E-06
71,1.83E-05,5.04E-06
72,1.70E-05,8.84E-06
73,1.50E-05,1.22E-05
74,1.22E-05,1.51E-05
75,9.01E-06,1.75E-05
76,5.29E-06,1.91E-05
77,1.40E-06,1.98E-05
78,-2.60E-06,1.99E-05
79,-6.51E-06,1.90E-05
80,-1.02E-05,1.75E-05
81,-1.35E-05,1.53E-05
82,-1.63E-05,1.25E-05
83,-1.85E-05,9.10E-06
84,-2.00E-05,5.36E-06
85,-2.09E-05,1.48E-06
86,-2.09E-05,-2.50E-06
87,-2.01E-05,-6.44E-06
88,-1.87E-05,-1.02E-05
89,-1.66E-05,-1.36E-05
90,-1.38E-05,-1.65E-05
91,-1.06E-05,-1.88E-05
92,-6.98E-06,-2.07E-05
93,-3.13E-06,-2.18E-05
94,8.27E-07,-2.20E-05
95,4.84E-06,-2.16E-05
96,8.74E-06,-2.05E-05
97,1.23E-05,-1.88E-05
98,1.56E-05,-1.64E-05
99,1.83E-05,-1.34E-05
100,2.05E-05,-9.98E-06
101,2.20E-05,-6.29E-06
