Index,x_m,y_m,
0,0,0,
1,3.08E-08,7.69E-10,
2,6.16E-08,3.08E-09,
3,9.22E-08,6.92E-09,
4,1.23E-07,1.23E-08,
5,1.53E-07,1.92E-08,
6,1.83E-07,2.76E-08,
7,2.12E-07,3.75E-08,
8,2.42E-07,4.89E-08,
9,2.70E-07,6.18E-08,
10,2.99E-07,7.62E-08,
11,3.26E-07,9.19E-08,
12,3.53E-07,1.09E-07,
13,3.80E-07,1.28E-07,
14,4.05E-07,1.48E-07,
15,4.30E-07,1.69E-07,
16,4.54E-07,1.92E-07,
17,4.77E-07,2.16E-07,
18,5.00E-07,2.41E-07,
19,5.21E-07,2.67E-07,
20,5.41E-07,2.95E-07,
21,5.60E-07,3.24E-07,
22,5.78E-07,3.54E-07,
23,5.95E-07,3.85E-07,
24,6.11E-07,4.17E-07,
25,6.25E-07,4.50E-07,
26,6.38E-07,4.84E-07,
27,6.50E-07,5.19E-07,
28,6.60E-07,5.55E-07,
29,6.69E-07,5.92E-07,
30,6.77E-07,6.30E-07,
31,6.83E-07,6.68E-07,
32,6.88E-07,7.07E-07,
33,6.91E-07,7.46E-07,
34,6.92E-07,7.86E-07,
35,6.92E-07,8.27E-07,
36,6.91E-07,8.68E-07,
37,6.87E-07,9.10E-07,
38,6.82E-07,9.52E-07,
39,6.76E-07,9.94E-07,
40,6.67E-07,1.04E-06,
41,6.57E-07,1.08E-06,
42,6.45E-07,1.12E-06,
43,6.32E-07,1.16E-06,
44,6.17E-07,1.21E-06,
45,6.00E-07,1.25E-06,
46,5.81E-07,1.29E-06,
47,5.60E-07,1.34E-06,
48,5.38E-07,1.38E-06,
49,5.14E-07,1.42E-06,
50,4.88E-07,1.46E-06,
51,4.60E-07,1.50E-06,
52,4.31E-07,1.54E-06,
53,4.00E-07,1.58E-06,
54,3.67E-07,1.62E-06,
55,3.33E-07,1.66E-06,
56,2.96E-07,1.70E-06,
57,2.58E-07,1.74E-06,
58,2.19E-07,1.77E-06,
59,1.77E-07,1.81E-06,
60,1.34E-07,1.84E-06,
61,8.96E-08,1.88E-06,
62,4.33E-08,1.91E-06,
63,-4.43E-09,1.94E-06,
64,-5.37E-08,1.97E-06,
65,-1.05E-07,2.00E-06,
66,-1.57E-07,2.03E-06,
67,-2.11E-07,2.05E-06,
68,-2.66E-07,2.08E-06,
69,-3.22E-07,2.10E-06,
70,-3.80E-07,2.12E-06,
71,-4.39E-07,2.14E-06,
72,-4.99E-07,2.16E-06,
73,-5.61E-07,2.18E-06,
74,-6.24E-07,2.19E-06,
75,-6.87E-07,2.21E-06,
76,-7.52E-07,2.22E-06,
77,-8.18E-07,2.23E-06,
78,-8.85E-07,2.24E-06,
79,-9.52E-07,2.24E-06,
80,-1.02E-06,2.24E-06,
81,-1.09E-06,2.25E-06,
82,-1.16E-06,2.25E-06,
83,-1.23E-06,2.24E-06,
84,-1.30E-06,2.24E-06,
85,-1.37E-06,2.23E-06,
86,-1.44E-06,2.22E-06,
87,-1.52E-06,2.21E-06,
88,-1.59E-06,2.20E-06,
89,-1.66E-06,2.18E-06,
90,-1.74E-06,2.16E-06,
91,-1.81E-06,2.14E-06,
92,-1.88E-06,2.12E-06,
93,-1.96E-06,2.09E-06,
94,-2.03E-06,2.07E-06,
95,-2.10E-06,2.04E-06,
96,-2.18E-06,2.00E-06,
97,-2.26E-06,1.90E-06,
98,-2.34E-06,1.80E-06,
99,-2.42E-06,1.70E-06,
100,-2.50E-06,1.59E-06,
101,-2.58E-06,1.49E-06,
102,-2.67E-06,1.39E-06,
103,-2.75E-06,1.28E-06,
104,-2.83E-06,1.18E-06,
105,-2.91E-06,1.08E-06,
106,-2.99E-06,9.73E-07,
107,-3.08E-06,8.70E-07,
108,-3.16E-06,7.67E-07,
109,-3.24E-06,6.64E-07,
110,-3.32E-06,5.61E-07,
111,-3.40E-06,4.57E-07,
112,-3.48E-06,3.54E-07,
113,-3.57E-06,2.51E-07,
114,-3.65E-06,1.48E-07,
115,-3.73E-06,4.48E-08,
116,-3.81E-06,-5.83E-08,
117,-3.89E-06,-1.61E-07,
118,-3.97E-06,-2.65E-07,
119,-4.06E-06,-3.68E-07,
120,-4.14E-06,-4.71E-07,
121,-4.22E-06,-5.74E-07,
122,-4.30E-06,-6.77E-07,
123,-4.29E-06,-7.96E-07,
124,-4.20E-06,-9.30E-07,
125,-4.11E-06,-1.06E-06,
126,-4.02E-06,-1.20E-06,
127,-3.92E-06,-1.33E-06,
128,-3.83E-06,-1.47E-06,
129,-3.73E-06,-1.60E-06,
130,-3.64E-06,-1.74E-06,
131,-3.54E-06,-1.87E-06,
132,-3.45E-06,-2.01E-06,
133,-3.35E-06,-2.14E-06,
134,-3.26E-06,-2.28E-06,
135,-3.17E-06,-2.41E-06,
136,-3.07E-06,-2.55E-06,
137,-2.98E-06,-2.68E-06,
138,-2.88E-06,-2.82E-06,
139,-2.79E-06,-2.95E-06,
140,-2.69E-06,-3.08E-06,
