Index,x_m,y_m,t_sec
0,0.00981878134177,0.00523039135043,2.86e-06
1,0.00982406229053,0.00523351645555,5.72e-06
2,0.00982934323928,0.00523664156066,8.58e-06
3,0.00983462418803,0.00523976666578,1.144e-05
4,0.00983990513678,0.0052428917709,1.43e-05
5,0.00984518608553,0.00524601687601,1.716e-05
6,0.00985046703429,0.00524914198113,2.002e-05
7,0.00985574798304,0.00525226708624,2.288e-05
8,0.00986102893179,0.00525539219136,2.574e-05
9,0.00986630988054,0.00525851729648,2.86e-05
10,0.00987159082929,0.00526164240159,3.146e-05
11,0.00987687177805,0.00526476750671,3.432e-05
12,0.0098821527268,0.00526789261182,3.718e-05
13,0.00988743367555,0.00527101771694,4.004e-05
14,0.0098927146243,0.00527414282206,4.29e-05
15,0.00989799557305,0.00527726792717,4.576e-05
16,0.00990327652181,0.00528039303229,4.862e-05
17,0.00990855747056,0.0052835181374,5.148e-05
18,0.00991383841931,0.00528664324252,5.434e-05
19,0.00991911936806,0.00528976834764,5.72e-05
20,0.00992440031681,0.00529289345275,6.006e-05
21,0.00992968126557,0.00529601855787,6.292e-05
22,0.00993496221432,0.00529914366298,6.578e-05
23,0.00994024316307,0.0053022687681,6.864e-05
24,0.00994552411182,0.00530539387322,7.15e-05
25,0.00995080506057,0.00530851897833,7.436e-05
26,0.00995608600933,0.00531164408345,7.722e-05
27,0.00996136695808,0.00531476918856,8.008e-05
28,0.00996664790683,0.00531789429368,8.294e-05
29,0.00997192885558,0.0053210193988,8.58e-05
30,0.00997720980433,0.00532414450391,8.866e-05
31,0.00998249075309,0.00532726960903,9.152e-05
32,2.06483368289e-06,9.5785940028e-08,9.438e-05
33,2.00216817103e-06,1.56434057882e-07,9.724e-05
34,1.93950265918e-06,2.17082175736e-07,0.0001001
35,1.87683714732e-06,2.7773029359e-07,0.00010296
36,1.81417163547e-06,3.38378411445e-07,0.00010582
37,1.75150612361e-06,3.99026529299e-07,0.00010868
38,1.68884061175e-06,4.59674647153e-07,0.00011154
39,1.6261750999e-06,5.20322765007e-07,0.0001144
40,1.56350958804e-06,5.80970882861e-07,0.00011726
