Index,x_m,y_m,t_sec
1,0.00049599822355,6.17135945433e-05,5.332e-05
2,0.000131360392172,4.18370965437e-05,0.00010664
3,-1.38443685606e-06,2.66430436136e-06,0.00015996
4,-3.69519550895e-06,-1.18395430451e-07,0.00021328
5,-3.0647604503e-06,-2.44361437731e-06,0.0002455
6,-9.63631064063e-07,-4.76422587003e-06,0.00027772
7,2.4475953544e-06,-4.7991845964e-06,0.00030994
8,5.3376495763e-06,-2.34418834238e-06,0.00034216
9,5.94769195028e-06,8.04889934514e-07,0.00036756
10,4.91628186441e-06,3.9178291314e-06,0.00039296
11,2.42062381699e-06,6.38854539572e-06,0.00041836
12,-1.26666063448e-06,7.09438002905e-06,0.00044376
13,-4.48621877016e-06,6.07229029434e-06,0.00046542
14,-7.10806194865e-06,3.61756307482e-06,0.00048708
15,-8.25191872282e-06,2.30958474366e-08,0.00050874
16,-7.68108075565e-06,-3.76995931244e-06,0.0005304
17,-5.64626923089e-06,-6.69334272715e-06,0.0005496
18,-2.58041995059e-06,-8.62619963993e-06,0.0005688
19,1.07449987096e-06,-9.18218835749e-06,0.000588
20,4.80010917835e-06,-8.26002176393e-06,0.0006072
21,7.68948180895e-06,-6.1200974662e-06,0.00062462
22,9.66025780532e-06,-3.0175721248e-06,0.00064204
23,1.0412661893e-05,6.94384364705e-07,0.00065946
24,9.71383349161e-06,4.55878128666e-06,0.00067688
25,7.80165211178e-06,7.76783535309e-06,0.00069294
26,4.77622934382e-06,1.01079524912e-05,0.000709
27,1.10312031253e-06,1.13140918386e-05,0.00072506
28,-2.81184969132e-06,1.12384022766e-05,0.00074112
29,-6.3000878509e-06,9.93277799636e-06,0.0007561
30,-9.2443953397e-06,7.56838632464e-06,0.00077108
31,-1.13532228879e-05,4.3587792233e-06,0.00078606
32,-1.23656576307e-05,5.72069102705e-07,0.00080104
33,-1.2231629594e-05,-3.19207881794e-06,0.00081512
34,-1.09376013018e-05,-6.77408239799e-06,0.0008292
35,-8.54083396359e-06,-9.81078288793e-06,0.00084328
36,-5.34674795896e-06,-1.20902882912e-05,0.00085736
37,-1.75652220346e-06,-1.3369332113e-05,0.0008707
38,2.09644484124e-06,-1.35530770409e-05,0.00088404
39,5.92752722203e-06,-1.25908323058e-05,0.00089738
40,9.3257668839e-06,-1.05497186399e-05,0.00091072
41,1.19591018699e-05,-7.73663954283e-06,0.00092342
42,1.37402651802e-05,-4.29456315712e-06,0.00093612
43,1.46237718961e-05,-4.7822679993e-07,0.00094882
44,1.43384460872e-05,3.49996201704e-06,0.00096152
45,1.30638243921e-05,7.14310472003e-06,0.00097366
46,1.09304992222e-05,1.03663040756e-05,0.0009858
47,8.02648572773e-06,1.29792801489e-05,0.00099794
48,4.48063125736e-06,1.47735829754e-05,0.00101008
